Id,Division,Contact,Details_OtherContact,Value_Millions,Size,PricePerPerch,TownDistMetres,BusHaltDistMetres,Water & Electricity Availability,Water & Electricity Availability(Sp),NeighbouringLands,Level,NearbyLocations,Parks,Schools,Temples,Churches,Mosques,Kovils,ShoppingCenters,Other,OtherDescribe,AdditionalResource,ResourcesDescribe,Resource_Valuation,Resource_Valuation(Sp),LandUse,Describe
112,Thimbirigasyaya & Kotte,Telephone, ,60,12.15,4.9382,500,400,Both,2,0,Flat,7,1,1,2,0,0,0,1,2,"Western, Golden eye & ENT Hospitals",Building,New renovated House,0-50,1,Residential,Residential
113,Thimbirigasyaya & Kotte,Telephone, , ,14,2.5,1100,615,Both,2,0,Flat,2,0,0,1,0,0,0,1,0, ,None, ,No Resources,0,Residential,Residential area
114,Thimbirigasyaya & Kotte,Telephone, ,45,9,5,1600,550,Both,2,0,Flat,4,0,0,1,0,0,0,1,2,Udahamulla Station/ Clinic,Building,Building(2),0-50,1,Residential,Luxary House
115,Thimbirigasyaya & Kotte,Telephone, ,12.8,11,1.163,700,500,Both,2,0,Flat,2,1,0,1,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Area
116,Thimbirigasyaya & Kotte,Telephone, , ,8,1.5,1000,1000,Both,2,2,Flat,4,1,1,1,0,0,0,1,0, ,None, ,No Resources,0,Residential,Residential Area
117,Thimbirigasyaya & Kotte,Telephone, , ,6.5,3.75,850,490,Both,2,0,Flat,1,0,0,1,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Area
118,Thimbirigasyaya & Kotte,Telephone, , ,6.2,1.75,680,500,Both,2,2,Flat,5,0,1,1,1,0,0,1,1,Divisional Hospital,None, ,No Resources,0,Residential,Residential Area
119,Thimbirigasyaya & Kotte,Telephone, , ,20,4,830,480,Both,2,0,Flat,3,0,1,1,0,0,0,1,0, ,None, ,No Resources,0,Residential,Residential Area
120,Thimbirigasyaya & Kotte,Telephone, , ,10,4.25,700,100,Both,2,0,Flat,6,0,1,1,1,0,0,1,2,Rhab Center/Asiri Surgical,None, ,No Resources,0,Residential,Residential Land
121,Kasbawa,Telephone, , ,10,0.75,1800,200,Both,2,2,Flat,0,0,0,0,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Area
122,Kasbawa,Telephone, ,2.5,10.3,0.242718447,1300,800,Both,2,0,Flat,3,0,1,2,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential
123,Kasbawa,Telephone, , ,7,0.45,700,700,Both,2,0,Non-Flat,2,0,0,1,1,0,0,0,0, ,None, ,No Resources,0,Residential,Residential
124,Kasbawa,Telephone, , ,13,0.175,600,480,Both,2,0,Flat,4,0,1,1,0,0,0,1,1,Medi Help,None, ,No Resources,0,Residential,Residential Area
125,Kasbawa,Telephone, , ,15,0.2,1800,520,Both,2,0,Flat,1,0,0,1,0,0,0,0,0, ,None, ,No Resources,0,Residential,Residential Area
126,Kaduwela,Telephone, , ,10,0.75,80,80,Both,2,1,Flat,3,0,0,2,0,0,0,1,0, ,None, ,No Resources,0,Commercial & Residential,Residential/Boarding Scheme/Restaurent
127,Kaduwela,Telephone, , ,20,0.8,900,480,Both,2,0,Non-Flat,4,0,2,1,0,0,0,1,0, ,None, ,No Resources,0,Residential,Residential area
128,Kaduwela,Telephone, , ,13.87,1.5,800,480,Both,2,0,Flat,4,1,0,1,0,0,0,1,1,Santa Dora Hospital,None, ,No Resources,0,Residential,Residential Area
129,Kaduwela,Telephone, , ,9,2,900,900,Both,2,0,Non-Flat,2,0,0,0,0,0,0,1,1,Divisional Hospital,None, ,No Resources,0,Residential,Residential Area
130,Kaduwela,Telephone, ,43.8,13.68,3.2,830,460,Both,2,0,Flat,6,1,1,2,0,0,0,1,1,Santa Dorsa Hospital,None, ,No Resources,0,Residential,Residential Area
131,Kaduwela,Telephone, , ,15.5,3.6,860,500,Both,2,0,Flat,6,1,1,2,0,0,0,1,1,Santa Dorsa Hospital,None, ,No Resources,0,Residential,Residential land
132,Homagama,Telephone, ,30,63,0.47619,980,470,Both,2,0,Flat,5,0,2,1,0,0,0,0,2,Homagama Hospital and Rohala Railway Station,None, ,No Resources,0,Commercial & Residential,Factory/Warehouse/Guest House/ Residence
133,Homagama,Telephone, , ,8.36,0.89,850,500,Both,2,0,Flat,4,1,0,0,0,0,0,1,2,Base Hospital/ Homagama Station,None, ,No Resources,0,Residential,Residential Area
134,Homagama,Telephone, , ,80,0.15,1120,5,Electricity,1,1,Flat,2,0,1,1,0,0,0,0,0, ,None, ,No Resources,0,Commercial & Residential,Resident/Hotel/Company
135,Homagama,Telephone, , ,11,0.4,1050,250,Both,2,0,Non-Flat,5,1,1,1,0,0,0,0,2,Base Hospital/Homagama Rohala Station,None, ,No Resources,0,Residential,Residential Area
136,Homagama,Telephone, , ,7.89,0.3,100,100,Electricity,1,0,Flat,6,0,1,1,2,0,0,1,1,Meegoda Police Station,None, ,No Resources,0,Residential,Residential Land
137,Homagama,Telephone, ,9.5,12,0.7916666,900,120,Electricity,1,0,Flat,4,1,0,2,1,0,0,0,0, ,Building,Building(1),0-50,1,Commercial & Residential,Residential/Rented for NSBM Students
138,Homagama,Telephone, ,12,18,0.666666,1200,990,Electricity,1,0,Flat,3,0,1,1,0,0,0,0,1,Homagama Railway Station,Building,Building(2),0-50,1,Residential,Partly Built House
139,Homagama,Telephone, ,2.8,8,0.35,1100,705,Both,2,0,Flat,3,0,0,1,1,0,0,1,0, ,None, ,No Resources,0,Residential,Residential Area
140,Homagama,Telephone, , ,6.5,0.385,370,15,Both,2,2,Flat,6,1,2,2,0,0,0,1,0, ,None, ,No Resources,0,Residential,Residential Area
